5690 forms to query (997 Strong's numbers already covered by 1153 entries)
07:49:34 queried 100/5690, 1233 entries on disk
07:49:47 queried 200/5690, 1358 entries on disk
07:50:01 queried 300/5690, 1501 entries on disk
07:50:14 queried 400/5690, 1602 entries on disk
07:50:28 queried 500/5690, 1712 entries on disk
07:50:42 queried 600/5690, 1802 entries on disk
07:50:57 queried 700/5690, 1911 entries on disk
07:51:12 queried 800/5690, 2014 entries on disk
07:51:26 queried 900/5690, 2137 entries on disk
07:51:45 queried 1000/5690, 2236 entries on disk
07:52:05 queried 1100/5690, 2315 entries on disk
07:52:26 queried 1200/5690, 2393 entries on disk
07:52:42 queried 1300/5690, 2484 entries on disk
07:52:56 queried 1400/5690, 2570 entries on disk
07:53:14 queried 1500/5690, 2680 entries on disk
07:53:34 queried 1600/5690, 2804 entries on disk
07:53:52 queried 1700/5690, 2932 entries on disk
07:54:08 queried 1800/5690, 3050 entries on disk
07:54:24 queried 1900/5690, 3131 entries on disk
07:54:40 queried 2000/5690, 3231 entries on disk
07:54:58 queried 2100/5690, 3324 entries on disk
07:55:18 queried 2200/5690, 3427 entries on disk
07:55:39 queried 2300/5690, 3534 entries on disk
07:56:00 queried 2400/5690, 3625 entries on disk
07:56:18 queried 2500/5690, 3716 entries on disk
07:56:37 queried 2600/5690, 3820 entries on disk
07:56:55 queried 2700/5690, 3927 entries on disk
07:57:13 queried 2800/5690, 4016 entries on disk
07:57:31 queried 2900/5690, 4131 entries on disk
07:57:50 queried 3000/5690, 4212 entries on disk
07:58:08 queried 3100/5690, 4346 entries on disk
07:58:24 queried 3200/5690, 4510 entries on disk
07:58:41 queried 3300/5690, 4636 entries on disk
07:58:58 queried 3400/5690, 4743 entries on disk
07:59:13 queried 3500/5690, 4827 entries on disk
07:59:30 queried 3600/5690, 4921 entries on disk
07:59:46 queried 3700/5690, 5012 entries on disk
08:00:00 queried 3800/5690, 5084 entries on disk
08:00:18 queried 3900/5690, 5178 entries on disk
08:00:35 queried 4000/5690, 5263 entries on disk
08:00:51 queried 4100/5690, 5350 entries on disk
08:01:07 queried 4200/5690, 5430 entries on disk
08:01:29 queried 4300/5690, 5507 entries on disk
08:01:44 queried 4400/5690, 5600 entries on disk
08:01:58 queried 4500/5690, 5695 entries on disk
08:02:21 queried 4600/5690, 5770 entries on disk
08:02:36 queried 4700/5690, 5857 entries on disk
08:02:50 queried 4800/5690, 5954 entries on disk
08:03:08 queried 4900/5690, 6011 entries on disk
08:03:25 queried 5000/5690, 6092 entries on disk
08:03:41 queried 5100/5690, 6196 entries on disk
08:03:55 queried 5200/5690, 6274 entries on disk
08:04:09 queried 5300/5690, 6379 entries on disk
08:04:25 queried 5400/5690, 6464 entries on disk
08:04:39 queried 5500/5690, 6568 entries on disk
08:04:55 queried 5600/5690, 6639 entries on disk
DONE: 6713 BDB entries on disk (5560 new this run, 0 failures)
